time,value
2023-04-04T16:21:46.834Z,12
2023-04-04T16:21:48.833Z,24.100000381469727
2023-04-04T16:21:52.848Z,24.5
2023-04-04T16:21:58.873Z,24.799999237060547
2023-04-04T16:22:16.942Z,24.899999618530273
2023-04-04T16:22:19.083Z,25.200000762939453
2023-04-04T16:22:20.957Z,25.299999237060547
2023-04-04T16:22:33.001Z,25.100000381469727
2023-04-04T16:22:35.002Z,24.899999618530273
2023-04-04T16:22:39.047Z,24.799999237060547
2023-04-04T16:23:17.122Z,24.5
2023-04-04T16:23:55.35Z,24.200000762939453
2023-04-04T16:23:57.248Z,24.100000381469727
2023-04-04T16:24:39.478Z,24
2023-04-04T16:24:41.417Z,23.799999237060547
2023-04-04T16:25:37.738Z,23.700000762939453
2023-04-04T16:25:39.649Z,23.399999618530273
2023-04-04T16:26:37.788Z,26.700000762939453
2023-04-04T16:26:39.794Z,26.200000762939453
2023-04-04T16:26:41.804Z,25.799999237060547
2023-04-04T16:26:47.884Z,25.299999237060547
2023-04-04T16:27:01.876Z,24.899999618530273
2023-04-04T16:27:03.869Z,24.799999237060547
2023-04-04T16:27:20.041Z,24.5
2023-04-04T16:27:41.984Z,24.200000762939453
2023-04-04T16:27:44.007Z,24.100000381469727
2023-04-04T16:28:18.199Z,23.799999237060547
2023-04-04T16:29:16.297Z,23.600000381469727
2023-04-04T16:29:18.413Z,23.399999618530273
2023-04-04T16:30:15.455Z,28.200000762939453
2023-04-04T16:30:15.977Z,32.29999923706055
2023-04-04T16:30:18.009Z,31.799999237060547
2023-04-04T16:30:22.006Z,31.299999237060547
2023-04-04T16:30:25.996Z,30.799999237060547
2023-04-04T16:30:27.922Z,30.200000762939453
2023-04-04T16:30:32.038Z,29.799999237060547
2023-04-04T16:30:38.082Z,29.299999237060547
2023-04-04T16:30:42.073Z,28.899999618530273
2023-04-04T16:30:48.115Z,28.5
2023-04-04T16:30:56.044Z,28
2023-04-04T16:31:02.144Z,27.600000381469727
2023-04-04T16:31:10.133Z,27.100000381469727
2023-04-04T16:31:18.22Z,26.700000762939453
2023-04-04T16:31:26.208Z,26.200000762939453
2023-04-04T16:31:36.198Z,25.799999237060547
2023-04-04T16:31:46.28Z,25.600000381469727
2023-04-04T16:31:48.326Z,25.299999237060547
2023-04-04T16:32:02.356Z,24.899999618530273
2023-04-04T16:32:04.301Z,24.799999237060547
2023-04-04T16:32:18.432Z,24.5
2023-04-04T16:32:34.511Z,24.100000381469727
2023-04-04T16:32:52.534Z,23.899999618530273
2023-04-04T16:32:54.58Z,23.799999237060547
2023-04-04T16:33:54.792Z,24.100000381469727
2023-04-04T16:34:08.718Z,24.200000762939453
2023-04-04T16:34:10.695Z,24.5
2023-04-04T16:34:22.853Z,24.799999237060547
2023-04-04T16:34:32.783Z,25.299999237060547
2023-04-04T16:34:44.865Z,25.799999237060547
2023-04-04T16:34:56.846Z,26.200000762939453
2023-04-04T16:35:08.901Z,26.299999237060547
2023-04-04T16:35:10.898Z,26.700000762939453
2023-04-04T16:35:24.954Z,27.100000381469727
2023-04-04T16:35:43.031Z,27.200000762939453
2023-04-04T16:35:44.99Z,27.600000381469727
2023-04-04T16:36:09.167Z,28
2023-04-04T16:36:41.299Z,28.5
2023-04-04T16:37:15.293Z,28.899999618530273
2023-04-04T16:37:57.485Z,29
2023-04-04T16:37:59.43Z,29.100000381469727
2023-04-04T16:38:01.423Z,29.299999237060547
2023-04-04T16:39:25.772Z,29
2023-04-04T16:39:27.719Z,28.899999618530273
2023-04-04T16:42:52.517Z,29
2023-04-04T16:42:54.383Z,29.299999237060547
2023-04-04T16:45:10.846Z,29.399999618530273
2023-04-04T16:45:12.793Z,29.799999237060547
2023-04-04T16:46:37.067Z,29.399999618530273
2023-04-04T16:46:39.039Z,29.299999237060547
2023-04-04T16:47:23.167Z,28.899999618530273
2023-04-04T16:47:53.252Z,28.5
2023-04-04T16:48:25.407Z,28.399999618530273
2023-04-04T16:48:27.352Z,28
2023-04-04T16:49:01.475Z,27.600000381469727
2023-04-04T16:49:45.589Z,27.100000381469727
2023-04-04T16:50:33.654Z,26.700000762939453
2023-04-04T16:51:21.844Z,26.299999237060547
2023-04-04T16:51:23.789Z,26.200000762939453
2023-04-04T16:52:13.982Z,25.899999618530273
2023-04-04T16:52:15.885Z,25.799999237060547
2023-04-04T16:53:58.314Z,25.299999237060547
2023-04-04T16:57:00.909Z,25.200000762939453
2023-04-04T16:57:02.851Z,25.100000381469727
2023-04-04T16:57:04.79Z,25
2023-04-04T16:57:06.835Z,24.899999618530273
2023-04-04T16:57:14.923Z,24.799999237060547
2023-04-04T16:57:16.843Z,24.899999618530273
2023-04-04T16:57:19.02Z,24.799999237060547
2023-04-04T16:58:25.18Z,24.899999618530273
2023-04-04T16:58:29.164Z,25
2023-04-04T16:58:31.11Z,25.200000762939453
2023-04-04T16:58:33.163Z,25.299999237060547
2023-04-04T16:59:37.272Z,25.600000381469727
2023-04-04T16:59:39.434Z,25.799999237060547
